timestamp,latitude,longitude,altitude,speed,battery,mission
1763730599115,47.3979,8.54616,12.004,0,50,None
1763730599315,47.3979,8.54616,12,0,50,None
1763730599515,47.3979,8.54616,12,0,50,None
1763730599715,47.3979,8.54616,12.001,0,50,None
1763730599915,47.3979,8.54616,12.002,0.01,50,None
1763730600115,47.3979,8.54616,12.002,0.01,50,None
1763730600315,47.3979,8.54616,12.001,0.01,50,None
1763730600515,47.3979,8.54616,12.002,0.01,50,None
1763730600716,47.3979,8.54616,12.004,0.01,50,None
1763730600916,47.3979,8.54616,12.005,0.01,50,None
1763730601116,47.3979,8.54616,12.006,0.01,50,None
1763730601316,47.3979,8.54616,12.006,0.01,50,None
1763730601516,47.3979,8.54616,12.006,0,50,None
1763730601716,47.3979,8.54616,12.003,0,50,None
1763730601916,47.3979,8.54616,12,0,50,None
1763730602116,47.3979,8.54616,11.998,0,50,None
1763730602316,47.3979,8.54616,11.997,0.01,50,None
1763730602517,47.3979,8.54616,11.996,0.01,50,None
1763730602717,47.3979,8.54616,11.997,0.0141421,50,None
1763730602917,47.3979,8.54616,11.998,0.01,50,None
1763730603117,47.3979,8.54616,11.999,0,50,None
1763730603317,47.3979,8.54616,12.001,0,50,None
1763730603517,47.3979,8.54616,12.003,0,50,None
1763730603717,47.3979,8.54616,12.006,0.01,50,None
1763730603917,47.3979,8.54616,12.006,0,50,None
1763730604117,47.3979,8.54616,12.004,0,50,None
1763730604318,47.3979,8.54616,12.002,0,50,None
1763730604518,47.3979,8.54616,11.998,0,50,None
1763730604718,47.3979,8.54616,11.996,0.01,50,None
1763730604918,47.3979,8.54616,11.995,0.01,50,None
1763730605118,47.3979,8.54616,11.993,0.01,50,None
1763730605318,47.3979,8.54616,11.989,0,50,None
1763730605518,47.3979,8.54616,11.986,0.0141421,50,None
1763730605718,47.3979,8.54616,11.985,0.0141421,50,None
1763730605918,47.3979,8.54616,11.986,0.0141421,50,None
1763730606119,47.3979,8.54616,11.989,0.0141421,50,None
1763730606319,47.3979,8.54616,11.992,0.0141421,50,None
1763730606519,47.3979,8.54616,11.995,0.01,50,None
1763730606719,47.3979,8.54616,11.998,0.01,50,None
1763730606919,47.3979,8.54616,12.001,0.01,50,None
1763730607119,47.3979,8.54616,12.003,0,50,None
1763730607319,47.3979,8.54616,12.002,0.01,50,None
1763730607519,47.3979,8.54616,12,0.01,50,None
1763730607720,47.3979,8.54616,11.999,0,50,None
1763730607920,47.3979,8.54616,11.996,0.01,50,None
1763730608120,47.3979,8.54616,11.994,0.01,50,None
1763730608320,47.3979,8.54616,11.995,0.01,50,None
1763730608520,47.3979,8.54616,11.995,0.01,50,None
1763730608720,47.3979,8.54616,11.995,0.01,50,None
1763730608920,47.3979,8.54616,11.997,0.01,50,None
1763730609120,47.3979,8.54616,12.001,0.01,50,None
1763730609320,47.3979,8.54616,12.004,0,50,None
1763730609520,47.3979,8.54616,12.004,0,50,None
1763730609721,47.3979,8.54616,12.003,0,50,None
1763730609921,47.3979,8.54616,12.003,0,50,None
1763730610121,47.3979,8.54616,12.003,0,50,None
1763730610321,47.3979,8.54616,12.003,0,50,None
1763730610521,47.3979,8.54616,12.005,0,50,None
1763730610721,47.3979,8.54616,12.005,0,50,None
1763730610921,47.3979,8.54616,12.006,0,50,None
1763730611121,47.3979,8.54616,12.008,0.01,50,None
1763730611321,47.3979,8.54616,12.01,0.01,50,None
1763730611522,47.3979,8.54616,12.01,0.01,50,None
1763730611722,47.3979,8.54616,12.012,0.01,50,None
1763730611922,47.3979,8.54616,12.012,0.01,50,None
1763730612122,47.3979,8.54616,12.012,0.01,50,None
1763730612322,47.3979,8.54616,12.01,0.0141421,50,None
1763730612522,47.3979,8.54616,12.008,0.02,50,None
1763730612722,47.3979,8.54616,12.007,0.02,50,None
1763730612922,47.3979,8.54616,12.007,0.01,50,None
1763730613122,47.3979,8.54616,12.006,0.01,50,None
1763730613323,47.3979,8.54616,12.005,0,50,None
1763730613523,47.3979,8.54616,12.004,0,50,None
1763730613723,47.3979,8.54616,12.004,0,50,None
1763730613923,47.3979,8.54616,12.005,0,50,None
1763730614123,47.3979,8.54616,12.007,0,50,None
1763730614323,47.3979,8.54616,12.008,0,50,None
1763730614523,47.3979,8.54616,12.005,0,50,None
1763730614723,47.3979,8.54616,12,0,50,None
1763730614923,47.3979,8.54616,11.996,0,50,None
1763730615124,47.3979,8.54616,11.994,0,50,None
1763730615324,47.3979,8.54616,11.994,0,50,None
1763730615524,47.3979,8.54616,11.994,0,50,None
1763730615724,47.3979,8.54616,11.996,0.01,50,None
1763730615924,47.3979,8.54616,11.998,0.0223607,50,None
1763730616124,47.3979,8.54616,11.999,0.0223607,50,None
1763730616324,47.3979,8.54616,12,0.03,50,None
1763730616524,47.3979,8.54616,11.999,0.03,50,None
1763730616724,47.3979,8.54616,12,0.02,50,None
1763730616925,47.3979,8.54616,12,0.02,50,None
1763730617125,47.3979,8.54616,12,0.01,50,None
1763730617325,47.3979,8.54616,11.998,0.01,50,None
1763730617525,47.3979,8.54616,11.997,0.01,50,None
1763730617725,47.3979,8.54616,11.997,0,50,None
1763730617925,47.3979,8.54616,11.995,0,50,None
1763730618125,47.3979,8.54616,11.994,0,50,None
1763730618325,47.3979,8.54616,11.991,0,50,None
1763730618525,47.3979,8.54616,11.991,0.01,50,None
1763730618726,47.3979,8.54616,11.993,0.0141421,50,None
1763730618926,47.3979,8.54616,11.995,0.01,50,None
1763730619126,47.3979,8.54616,11.996,0,50,None
1763730619326,47.3979,8.54616,11.996,0,50,None
1763730619526,47.3979,8.54616,11.994,0,50,None
1763730619726,47.3979,8.54616,11.992,0,50,None
1763730619926,47.3979,8.54616,11.992,0.01,50,None
1763730620126,47.3979,8.54616,11.991,0.01,50,None
1763730620327,47.3979,8.54616,11.992,0.0141421,50,None
1763730620527,47.3979,8.54616,11.992,0.01,50,None
1763730620727,47.3979,8.54616,11.993,0.01,50,None
1763730620927,47.3979,8.54616,11.992,0.01,50,None
1763730621127,47.3979,8.54616,11.994,0,50,None
1763730621327,47.3979,8.54616,11.994,0,50,None
1763730621527,47.3979,8.54616,11.993,0,50,None
1763730621727,47.3979,8.54616,11.991,0,50,None
1763730621928,47.3979,8.54616,11.991,0,50,None
1763730622128,47.3979,8.54616,11.991,0.01,50,None
1763730622328,47.3979,8.54616,11.994,0.01,50,None
1763730622528,47.3979,8.54616,11.999,0.01,50,None
1763730622728,47.3979,8.54616,12,0.01,50,None
1763730622928,47.3979,8.54616,12,0.01,50,None
1763730623128,47.3979,8.54616,12.001,0.01,50,None
1763730623328,47.3979,8.54616,12.001,0.01,50,None
1763730623528,47.3979,8.54616,12.001,0.01,50,None
1763730623729,47.3979,8.54616,12.003,0.01,50,None
1763730623929,47.3979,8.54616,12.004,0.01,50,None
1763730624129,47.3979,8.54616,12.001,0,50,None
1763730624329,47.3979,8.54616,11.998,0,50,None
1763730624529,47.3979,8.54616,11.998,0,50,None
1763730624729,47.3979,8.54616,12,0,50,None
1763730624929,47.3979,8.54616,12.001,0,50,None
1763730625129,47.3979,8.54616,12.003,0,50,None
1763730625330,47.3979,8.54616,12.004,0,50,None
1763730625530,47.3979,8.54616,12.005,0,50,None
1763730625730,47.3979,8.54616,12.007,0.0141421,50,None
1763730625930,47.3979,8.54616,12.009,0.01,50,None
1763730626130,47.3979,8.54616,12.01,0.01,50,None
1763730626330,47.3979,8.54616,12.012,0.01,50,None
1763730626530,47.3979,8.54616,12.015,0.0141421,50,None
1763730626730,47.3979,8.54616,12.014,0.01,50,None
1763730626931,47.3979,8.54616,12.013,0.01,50,None
1763730627131,47.3979,8.54616,12.013,0.01,50,None
1763730627331,47.3979,8.54616,12.016,0.01,50,None
1763730627531,47.3979,8.54616,12.018,0.0141421,50,None
1763730627731,47.3979,8.54616,12.02,0.0141421,50,None
1763730627931,47.3979,8.54616,12.021,0.01,50,None
1763730628131,47.3979,8.54616,12.02,0.0223607,50,None
1763730628331,47.3979,8.54616,12.019,0.0141421,50,None
